# x y rho ux uy
1 103 1.020803 0.095190 0.037807
1 104 1.021773 0.095086 0.037884
1 105 1.022794 0.094983 0.037871
1 106 1.023871 0.094881 0.037761
1 107 1.025005 0.094781 0.037545
1 108 1.026203 0.094683 0.037214
1 109 1.027470 0.094590 0.036757
1 110 1.028811 0.094503 0.036161
1 111 1.030234 0.094424 0.035410
1 112 1.031748 0.094355 0.034485
1 113 1.033362 0.094301 0.033364
1 114 1.035089 0.094263 0.032020
1 115 1.036945 0.094248 0.030421
1 116 1.038948 0.094260 0.028528
1 117 1.041123 0.094304 0.026295
1 118 1.043504 0.094384 0.023670
1 119 1.046134 0.094499 0.020595
1 120 1.049075 0.094640 0.017016
1 121 1.052417 0.094769 0.012900
1 122 1.056287 0.094788 0.008286
1 123 1.060873 0.094443 0.003409
1 124 1.066434 0.093029 -0.000992
1 125 1.073274 0.088425 -0.002797
1 126 1.081066 0.070042 0.003483
1 127 1.067687 0.018798 0.003730
2 0 1.066064 0.022956 -0.000956
2 1 1.069349 0.064325 0.000803
2 2 1.066025 0.086595 0.005086
2 3 1.061848 0.095906 0.005944
2 4 1.057850 0.098982 0.003403
2 5 1.054206 0.099629 -0.000649
2 6 1.050919 0.099339 -0.005097
2 7 1.047953 0.098735 -0.009399
2 8 1.045267 0.098076 -0.013327
2 9 1.042818 0.097467 -0.016810
2 10 1.040573 0.096941 -0.019849
2 11 1.038503 0.096504 -0.022475
2 12 1.036584 0.096150 -0.024732
2 13 1.034799 0.095868 -0.026662
2 14 1.033132 0.095646 -0.028305
2 15 1.031569 0.095474 -0.029696
2 16 1.030101 0.095343 -0.030866
2 17 1.028718 0.095245 -0.031840
2 18 1.027413 0.095175 -0.032639
2 19 1.026180 0.095126 -0.033281
2 20 1.025012 0.095095 -0.033784
2 21 1.023905 0.095078 -0.034158
2 22 1.022854 0.095074 -0.034417
2 23 1.021857 0.095079 -0.034569
2 24 1.020909 0.095092 -0.034623
2 25 1.020007 0.095111 -0.034586
2 26 1.019150 0.095136 -0.034466
2 27 1.018334 0.095164 -0.034267
2 28 1.017557 0.095197 -0.033995
2 29 1.016818 0.095232 -0.033655
2 30 1.016114 0.095270 -0.033251
2 31 1.015445 0.095309 -0.032786
2 32 1.014808 0.095350 -0.032265
2 33 1.014202 0.095392 -0.031691
2 34 1.013626 0.095435 -0.031067
2 35 1.013078 0.095478 -0.030396
2 36 1.012558 0.095521 -0.029680
2 37 1.012065 0.095564 -0.028922
2 38 1.011597 0.095607 -0.028125
2 39 1.011153 0.095650 -0.027290
2 40 1.010733 0.095692 -0.026420
2 41 1.010336 0.095733 -0.025517
2 42 1.009962 0.095773 -0.024584
2 43 1.009609 0.095813 -0.023621
2 44 1.009276 0.095851 -0.022630
2 45 1.008964 0.095888 -0.021614
2 46 1.008672 0.095923 -0.020574
2 47 1.008398 0.095957 -0.019512
2 48 1.008143 0.095990 -0.018429
2 49 1.007907 0.096021 -0.017327
2 50 1.007688 0.096050 -0.016206
2 51 1.007486 0.096077 -0.015070
2 52 1.007301 0.096103 -0.013918
2 53 1.007133 0.096126 -0.012753
2 54 1.006981 0.096148 -0.011575
2 55 1.006845 0.096167 -0.010386
2 56 1.006724 0.096185 -0.009187
2 57 1.006620 0.096200 -0.007979
2 58 1.006530 0.096214 -0.006764
2 59 1.006456 0.096225 -0.005543
2 60 1.006397 0.096234 -0.004317
2 61 1.006352 0.096240 -0.003086
2 62 1.006323 0.096245 -0.001853
2 63 1.006308 0.096247 -0.000618
2 64 1.006308 0.096247 0.000618
2 65 1.006323 0.096245 0.001853
2 66 1.006352 0.096240 0.003086
2 67 1.006397 0.096234 0.004317
2 68 1.006456 0.096225 0.005543
2 69 1.006530 0.096214 0.006764
2 70 1.006620 0.096200 0.007979
2 71 1.006724 0.096185 0.009187
2 72 1.006845 0.096167 0.010386
2 73 1.006981 0.096148 0.011575
2 74 1.007133 0.096126 0.012753
2 75 1.007301 0.096103 0.013918
2 76 1.007486 0.096077 0.015070
2 77 1.007688 0.096050 0.016206
2 78 1.007907 0.096021 0.017327
2 79 1.008143 0.095990 0.018429
2 80 1.008398 0.095957 0.019512
2 81 1.008672 0.095923 0.020574
2 82 1.008964 0.095888 0.021614
2 83 1.009276 0.095851 0.022630
2 84 1.009609 0.095813 0.023621
2 85 1.009962 0.095773 0.024584
2 86 1.010336 0.095733 0.025517
2 87 1.010733 0.095692 0.026420
2 88 1.011153 0.095650 0.027290
2 89 1.011597 0.095607 0.028125
2 90 1.012065 0.095564 0.028922
2 91 1.012558 0.095521 0.029680
2 92 1.013078 0.095478 0.030396
2 93 1.013626 0.095435 0.031067
2 94 1.014202 0.095392 0.031691
2 95 1.014808 0.095350 0.032265
2 96 1.015445 0.095309 0.032786
2 97 1.016114 0.095270 0.033251
2 98 1.016818 0.095232 0.033655
2 99 1.017557 0.095197 0.033995
2 100 1.018334 0.095164 0.034267
