t,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99
0.871000,98.552155,97.105156,95.659851,94.217079,92.777679,91.342484,89.912315,88.488007,87.070328,85.660118,84.258110,82.865112,81.481850,80.109077,78.747490,77.397812,76.060699,74.736824,73.426811,72.131279,70.850807,69.585983,68.337311,67.105339,65.890526,64.693344,63.514225,62.353573,61.211761,60.089149,58.986046,57.902748,56.839516,55.796585,54.774162,53.772430,52.791531,51.831593,50.892704,49.974937,49.078339,48.202911,47.348660,46.515537,45.703487,44.912426,44.142250,43.392826,42.664013,41.955624,41.267487,40.599369,39.951061,39.322304,38.712845,38.122395,37.550663,36.997341,36.462109,35.944626,35.444546,34.961517,34.495167,34.045120,33.611000,33.192394,32.788921,32.400154,32.025696,31.665121,31.318008,30.983929,30.662455,30.353153,30.055586,29.769316,29.493904,29.228914,28.973898,28.728422,28.492039,28.264311,28.044792,27.833048,27.628632,27.431110,27.240042,27.054991,26.875523,26.701199,26.531590,26.366259,26.204779,26.046717,25.891644,25.739130,25.588747,25.440071,25.292671,25.146122
0.871500,98.552567,97.105988,95.661095,94.218735,92.779739,91.344948,89.915184,88.491257,87.073990,85.664139,84.262527,82.869881,81.486992,80.114555,78.753326,77.403969,76.067184,74.743614,73.433907,72.138657,70.858475,69.593895,68.345497,67.113747,65.899170,64.702194,63.523273,62.362804,61.221169,60.098709,58.995750,57.912582,56.849464,55.806637,54.784302,53.782639,52.801804,51.841908,50.903053,49.985310,49.088715,48.213287,47.359013,46.525864,45.713772,44.922661,44.152420,43.402927,42.674023,41.965549,41.277298,40.609077,39.960644,39.331760,38.722160,38.131569,37.559685,37.006207,36.470806,35.953156,35.452904,34.969688,34.503155,34.052925,33.618603,33.199810,32.796127,32.407166,32.032501,31.671719,31.324396,30.990107,30.668419,30.358904,30.061123,29.774637,29.499012,29.233801,28.978573,28.732878,28.496281,28.268333,28.048601,27.836639,27.632011,27.434273,27.242990,27.057726,26.878044,26.703508,26.533686,26.368145,26.206453,26.048182,25.892899,25.740173,25.589584,25.440697,25.293089,25.146332
0.872000,98.552986,97.106812,95.662338,94.220383,92.781799,91.347412,89.918045,88.494522,87.077621,85.668175,84.266922,82.874664,81.492111,80.120049,78.759148,77.410133,76.073662,74.750404,73.440994,72.146042,70.866119,69.601822,68.353653,67.122162,65.907799,64.711044,63.532314,62.372032,61.230564,60.108265,59.005447,57.922409,56.859409,55.816681,54.794434,53.792847,52.812065,51.852219,50.913399,49.995674,49.099087,48.223652,47.369366,46.536182,45.724052,44.932888,44.162586,43.413017,42.684036,41.975460,41.287113,40.618774,39.970226,39.341209,38.731476,38.140736,37.568703,37.015064,36.479504,35.961681,35.461254,34.977863,34.511143,34.060722,33.626213,33.207214,32.803341,32.414173,32.039303,31.678314,31.330784,30.996283,30.674383,30.364655,30.066658,29.779959,29.504116,29.238693,28.983244,28.737337,28.500519,28.272360,28.052408,27.840233,27.635387,27.437437,27.245939,27.060461,26.880566,26.705818,26.535784,26.370031,26.208130,26.049646,25.894152,25.741220,25.590418,25.441324,25.293507,25.146540
0.872500,98.553398,97.107643,95.663574,94.222038,92.783859,91.349869,89.920906,88.497765,87.081276,85.672188,84.271332,82.879417,81.497253,80.125519,78.764969,77.416283,76.080139,74.757187,73.448082,72.153404,70.873779,69.609726,68.361824,67.130554,65.916428,64.719879,63.541355,62.381252,61.239960,60.117813,59.015141,57.932228,56.869343,55.826717,54.804558,53.803043,52.822323,51.862522,50.923737,50.006031,49.109451,48.234016,47.379707,46.546501,45.734325,44.943111,44.172745,43.423107,42.694035,41.985374,41.296917,40.628471,39.979797,39.350658,38.740784,38.149902,37.577717,37.023922,36.488197,35.970207,35.469604,34.986034,34.519131,34.068520,33.633816,33.214626,32.810547,32.421181,32.046104,31.684910,31.337170,31.002459,30.680347,30.370403,30.072195,29.785278,29.509222,29.243580,28.987921,28.741791,28.504763,28.276382,28.056219,27.843824,27.638767,27.440599,27.248890,27.063196,26.883089,26.708128,26.537882,26.371918,26.209805,26.051111,25.895409,25.742264,25.591255,25.441950,25.293924,25.146749
0.873000,98.553810,97.108467,95.664818,94.223686,92.785912,91.352333,89.923759,88.501022,87.084900,85.676224,84.275711,82.884193,81.502365,80.130997,78.770782,77.422432,76.086601,74.763969,73.455154,72.160782,70.881409,69.617638,68.369972,67.138954,65.925041,64.728714,63.550381,62.390469,61.249344,60.127357,59.024822,57.942043,56.879272,55.836746,54.814674,53.813232,52.832573,51.872822,50.934067,50.016384,49.119812,48.244370,47.390049,46.556808,45.744598,44.953327,44.182903,43.433186,42.704037,41.995274,41.306725,40.638161,39.989372,39.360100,38.750092,38.159065,37.586731,37.032776,36.496887,35.978729,35.477951,34.994202,34.527115,34.076317,33.641418,33.222031,32.817757,32.428185,32.052906,31.691504,31.343555,31.008633,30.686310,30.376154,30.077728,29.790600,29.514326,29.248472,28.992590,28.746252,28.509001,28.280409,28.060026,27.847420,27.642143,27.443764,27.251839,27.065933,26.885611,26.710438,26.539980,26.373804,26.211481,26.052576,25.896662,25.743311,25.592091,25.442577,25.294342,25.146957
0.873500,98.554222,97.109299,95.666054,94.225334,92.787971,91.354782,89.926620,88.504265,87.088547,85.680222,84.280121,82.888939,81.507492,80.136459,78.776596,77.428566,76.093071,74.770737,73.462234,72.168129,70.889053,69.625526,68.378128,67.147339,65.933662,64.737534,63.559406,62.399673,61.258724,60.136890,59.034504,57.951847,56.889194,55.846771,54.824783,53.823418,52.842819,51.883110,50.944393,50.026730,49.130165,48.254719,47.400379,46.567116,45.754860,44.963543,44.193050,43.443264,42.714027,42.005180,41.316517,40.647850,39.998936,39.369541,38.759392,38.168224,37.595737,37.041630,36.505577,35.987247,35.486298,35.002369,34.535099,34.084110,33.649021,33.229439,32.824963,32.435188,32.059708,31.698097,31.349939,31.014807,30.692272,30.381903,30.083265,29.795919,29.519432,29.253359,28.997267,28.750706,28.513245,28.284431,28.063837,27.851011,27.645523,27.446926,27.254789,27.068668,26.888134,26.712748,26.542078,26.375692,26.213156,26.054041,25.897919,25.744354,25.592928,25.443203,25.294760,25.147167
0.874000,98.554642,97.110123,95.667290,94.226982,92.790016,91.357246,89.929466,88.507515,87.092171,85.684250,84.284492,82.893707,81.512596,80.141930,78.782394,77.434708,76.099518,74.777512,73.469292,72.175491,70.896675,69.633430,68.386269,67.155724,65.942261,64.746353,63.568420,62.408878,61.268093,60.146420,59.044174,57.961651,56.899109,55.856785,54.834888,53.833595,52.853058,51.893398,50.954712,50.037067,49.140514,48.265060,47.410709,46.577412,45.765121,44.973747,44.203197,43.453335,42.724018,42.015072,41.326317,40.657528,40.008503,39.378971,38.768692,38.177380,37.604744,37.050476,36.514263,35.995766,35.494640,35.010532,34.543079,34.091904,33.656620,33.236843,32.832169,32.442192,32.066505,31.704689,31.356323,31.020981,30.698235,30.387651,30.088799,29.801241,29.524536,29.258249,29.001938,28.755165,28.517483,28.288460,28.067644,27.854607,27.648901,27.450092,27.257738,27.071405,26.890657,26.715059,26.544178,26.377579,26.214832,26.055508,25.899172,25.745401,25.593761,25.443830,25.295177,25.147375
0.874500,98.555054,97.110947,95.668526,94.228622,92.792076,91.359688,89.932320,88.510750,87.095810,85.688248,84.288887,82.898445,81.517715,80.147385,78.788200,77.440834,76.105980,74.784271,73.476357,72.182831,70.904305,69.641312,68.394409,67.164093,65.950867,64.755165,63.577435,62.418072,61.277458,60.155941,59.053841,57.971443,56.909016,55.866795,54.844986,53.843765,52.863289,51.903675,50.965023,50.047401,49.150852,48.275402,47.421028,46.587708,45.775372,44.983952,44.213337,43.463402,42.734001,42.024967,41.336102,40.667213,40.018055,39.388405,38.777988,38.186531,37.613747,37.059322,36.522945,36.004280,35.502979,35.018696,34.551056,34.099693,33.664219,33.244244,32.839371,32.449196,32.073303,31.711281,31.362705,31.027153,30.704195,30.393400,30.094334,29.806559,29.529642,29.263138,29.006613,28.759621,28.521727,28.292482,28.071455,27.858200,27.652281,27.453255,27.260689,27.074142,26.893181,26.717371,26.546276,26.379467,26.216509,26.056973,25.900429,25.746445,25.594599,25.444456,25.295595,25.147585
0.875000,98.555466,97.111771,95.669762,94.230270,92.794113,91.362144,89.935158,88.514000,87.099426,85.692268,84.293259,82.903206,81.522812,80.152847,78.793991,77.446968,76.112419,74.791031,73.483406,72.190178,70.911919,69.649200,68.402534,67.172470,65.959457,64.763969,63.586437,62.427261,61.286816,60.165455,59.063496,57.981228,56.918919,55.876797,54.855076,53.853931,52.873512,51.913948,50.975330,50.057728,49.161190,48.285732,47.431347,46.597992,45.785622,44.994148,44.223473,43.473465,42.743980,42.034851,41.345890,40.676884,40.027615,39.397831,38.787281,38.195683,37.622746,37.068165,36.531624,36.012791,35.511318,35.026852,34.559032,34.107479,33.671814,33.251644,32.846573,32.456196,32.080101,31.717871,31.369087,31.033325,30.710155,30.399147,30.099867,29.811880,29.534744,29.268028,29.011284,28.764080,28.525965,28.296509,28.075264,27.861795,27.655659,27.456421,27.263639,27.076880,26.895706,26.719681,26.548376,26.381353,26.218185,26.058439,25.901684,25.747492,25.595434,25.445084,25.296013,25.147793
0.875500,98.555878,97.112595,95.670998,94.231903,92.796165,91.364586,89.938011,88.517227,87.103058,85.696259,84.297646,82.907936,81.527924,80.158295,78.799789,77.453079,76.118866,74.797775,73.490463,72.197510,70.919533,69.657066,68.410667,67.180824,65.968048,64.772766,63.595432,62.436440,61.296169,60.174961,59.073147,57.991009,56.928810,55.886795,54.865158,53.864086,52.883732,51.924213,50.985630,50.068050,49.171520,48.296059,47.441654,46.608276,45.795860,45.004341,44.233601,43.483521,42.753956,42.044735,41.355667,40.686558,40.037163,39.407257,38.796570,38.204826,37.631741,37.077003,36.540302,36.021297,35.519653,35.035011,34.567005,34.115265,33.679409,33.259045,32.853775,32.463196,32.086895,31.724461,31.375469,31.039495,30.716116,30.404894,30.105402,29.817198,29.539850,29.272915,29.015959,28.768534,28.530209,28.300533,28.079075,27.865389,27.659040,27.459585,27.266590,27.079617,26.898230,26.721994,26.550474,26.383242,26.219862,26.059904,25.902941,25.748537,25.596272,25.445711,25.296431,25.148003
0.876000,98.556290,97.113419,95.672226,94.233551,92.798203,91.367035,89.940849,88.520470,87.106667,85.700272,84.302010,82.912689,81.533012,80.163742,78.805573,77.459206,76.125298,74.804527,73.497498,72.204849,70.927132,69.664940,68.418777,67.189186,65.976624,64.781563,63.604420,62.445614,61.305511,60.184464,59.082790,58.000778,56.938702,55.896782,54.875237,53.874237,52.893944,51.934471,50.995922,50.078365,49.181847,48.306377,47.451958,46.618549,45.806099,45.014523,44.243725,43.493572,42.763924,42.054611,41.365448,40.696220,40.046715,39.416676,38.805855,38.213970,37.640732,37.085842,36.548973,36.029804,35.527985,35.043163,34.574978,34.123051,33.687000,33.266441,32.860973,32.470192,32.093689,31.731049,31.381849,31.045668,30.722075,30.410643,30.110933,29.822517,29.544952,29.277805,29.020630,28.772993,28.534447,28.304560,28.082884,27.868984,27.662418,27.462751,27.269541,27.082354,26.900755,26.724304,26.552576,26.385130,26.221539,26.061371,25.904196,25.749584,25.597107,25.446339,25.296848,25.148211
0.876500,98.556702,97.114243,95.673462,94.235184,92.800255,91.369476,89.943695,88.523689,87.110298,85.704254,84.306389,82.917412,81.538109,80.169182,78.811356,77.465309,76.131737,74.811264,73.504547,72.212166,70.934738,69.672798,68.426895,67.197533,65.985199,64.790344,63.613407,62.454781,61.314850,60.193958,59.092426,58.010548,56.948578,55.906765,54.885303,53.884384,52.904148,51.944725,51.006210,50.088676,49.192162,48.316692,47.462254,46.628819,45.816330,45.024704,44.253841,43.503620,42.773888,42.064484,41.375217,40.705887,40.056255,39.426094,38.815136,38.223106,37.649723,37.094673,36.557648,36.038307,35.536316,35.051315,34.582947,34.130833,33.694592,33.273838,32.868172,32.477188,32.100483,31.737635,31.388229,31.051836,30.728035,30.416388,30.116468,29.827835,29.550058,29.282692,29.025305,28.777449,28.538691,28.308584,28.086695,27.872578,27.665800,27.465916,27.272493,27.085093,26.903278,26.726618,26.554674,26.387018,26.223217,26.062838,25.905453,25.750629,25.597944,25.446964,25.297266,25.148420
0.877000,98.557114,97.115067,95.674690,94.236824,92.802292,91.371925,89.946526,88.526932,87.113899,85.708260,84.310745,82.922150,81.543190,80.174622,78.817131,77.471420,76.138153,74.818008,73.511574,72.219490,70.942329,69.680656,68.434998,67.205879,65.993767,64.799126,63.622379,62.463943,61.324181,60.203445,59.102058,58.020306,56.958454,55.916737,54.895370,53.894520,52.914349,51.954971,51.016491,50.098976,49.202477,48.327000,47.472546,46.639084,45.826553,45.034878,44.263958,43.513660,42.783848,42.074352,41.384987,40.715542,40.065796,39.435505,38.824413,38.232243,37.658707,37.103504,36.566315,36.046810,35.544643,35.059467,34.590912,34.138611,33.702183,33.281231,32.875366,32.484184,32.107273,31.744223,31.394606,31.058006,30.733992,30.422134,30.122000,29.833155,29.555161,29.287582,29.029976,28.781908,28.542931,28.312611,28.090504,27.876175,27.669178,27.469082,27.275444,27.087830,26.905804,26.728930,26.556776,26.388906,26.224894,26.064304,25.906708,25.751677,25.598780,25.447592,25.297684,25.148628
0.877500,98.557526,97.115883,95.675919,94.238457,92.804337,91.374359,89.949371,88.530144,87.117523,85.712242,84.315117,82.926872,81.548279,80.180054,78.822906,77.477516,76.144585,74.824730,73.518608,72.226807,70.949921,69.688507,68.443100,67.214211,66.002327,64.807892,63.631351,62.473095,61.333504,60.212929,59.111679,58.030060,56.968319,55.926708,54.905422,53.904655,52.924538,51.965210,51.026764,50.109276,49.212780,48.337303,47.482834,46.649342,45.836773,45.045048,44.274063,43.523701,42.793804,42.084217,41.394749,40.725197,40.075329,39.444912,38.833687,38.241375,37.667690,37.112331,36.574982,36.055305,35.552971,35.067612,34.598877,34.146389,33.709766,33.288624,32.882561,32.491177,32.114067,31.750805,31.400986,31.064173,30.739950,30.427879,30.127533,29.838472,29.560265,29.292469,29.034651,28.786364,28.547173,28.316635,28.094315,27.879768,27.672560,27.472246,27.278397,27.090569,26.908329,26.731243,26.558876,26.390797,26.226572,26.065771,25.907965,25.752722,25.599617,25.448219,25.298101,25.148838
0.878000,98.557930,97.116707,95.677147,94.240097,92.806366,91.376801,89.952194,88.533379,87.121117,85.716240,84.319466,82.931602,81.553360,80.185486,78.828667,77.483620,76.150993,74.831459,73.525627,72.234116,70.957504,69.696350,68.451195,67.222542,66.010880,64.816658,63.640312,62.482243,61.342823,60.222401,59.121300,58.039803,56.978184,55.936668,54.915478,53.914776,52.934727,51.975445,51.037033,50.119564,49.223080,48.347599,47.493114,46.659595,45.846989,45.055210,44.284168,43.533730,42.803757,42.094078,41.404510,40.734844,40.084862,39.454315,38.842957,38.250504,37.676670,37.121159,36.583641,36.063805,35.561291,35.075760,34.606838,34.154163,33.717354,33.296013,32.889755,32.498173,32.120853,31.757393,31.407360,31.070343,30.745905,30.433624,30.133064,29.843790,29.565367,29.297358,29.039322,28.790821,28.551413,28.320662,28.098124,27.883364,27.675940,27.475414,27.281347,27.093307,26.910854,26.733555,26.560978,26.392685,26.228251,26.067238,25.909222,25.753769,25.600454,25.448847,25.298521,25.149046
0.878500,98.558342,97.117523,95.678375,94.241722,92.808411,91.379234,89.955032,88.536591,87.124733,85.720207,84.323830,82.936317,81.558441,80.190903,78.834435,77.489708,76.157410,74.838173,73.532646,72.241417,70.965080,69.704193,68.459282,67.230865,66.019424,64.825417,63.649269,62.491383,61.352131,60.231869,59.130905,58.049545,56.988037,55.946629,54.925518,53.924896,52.944904,51.985672,51.047295,50.129848,49.233372,48.357887,47.503387,46.669842,45.857197,45.065372,44.294266,43.543758,42.813702,42.103935,41.414265,40.744492,40.094387,39.463718,38.852222,38.259628,37.685650,37.129978,36.592304,36.072292,35.569614,35.083900,34.614799,34.161938,33.724934,33.303406,32.896946,32.505161,32.127644,31.763973,31.413738,31.076508,30.751863,30.439367,30.138596,29.849108,29.570471,29.302244,29.043995,28.795277,28.555655,28.324686,28.101934,27.886959,27.679321,27.478579,27.284302,27.096045,26.913380,26.735868,26.563078,26.394575,26.229927,26.068707,25.910479,25.754816,25.601292,25.449474,25.298939,25.149256
